"Academic Journal Guide 2024期刊目录（即ABS Journal Ranking 2024版目录）
源自 https://charteredabs.org/academic-journal-guide/academic-journal-guide-2024，共收录1822本期刊。",,,
1180,OPS&TECH,International Journal of Logistics Management,1
1181,OPS&TECH,International Journal of Logistics Research and Applications,1
1182,OPS&TECH,International Journal of Logistics Systems and Management,1
1183,OPS&TECH,International Journal of Manufacturing Technology and Management,1
1184,OPS&TECH,International Journal of Process Management and Benchmarking,1
1185,OPS&TECH,International Journal of Procurement Management,1
1186,OPS&TECH,International Journal of Productivity and Performance Management,1
1187,OPS&TECH,International Journal of Productivity and Quality Management,1
1188,OPS&TECH,International Journal of Quality and Service Sciences,1
1189,OPS&TECH,International Journal of Services and Operations Management,1
1190,OPS&TECH,International Journal of Services Operations and Informatics,1
1191,OPS&TECH,International Journal of Shipping and Transport Logistics,1
1192,OPS&TECH,International Journal of Six Sigma and Competitive Advantage,1
1193,OPS&TECH,International Journal of Value Chain Management,1
1194,OPS&TECH,Journal of Global Operations and Strategic Sourcing,1
1195,OPS&TECH,Journal of Humanitarian Logistics and Supply Chain Management,1
1196,OPS&TECH,Journal of Intelligent Manufacturing,1
1197,OPS&TECH,Journal of Manufacturing Systems,1
1198,OPS&TECH,Journal of Manufacturing Technology Management,1
1199,OPS&TECH,Journal of Public Procurement,1
1200,OPS&TECH,Journal of Quality in Maintenance Engineering,1
1201,OPS&TECH,Journal of Scheduling,1
1202,OPS&TECH,Journal of Service Theory and Practice,1
1203,OPS&TECH,Journal of Transport and Supply Chain Management,1
1204,OPS&TECH,Knowledge and Process Management,1
1205,OPS&TECH,Operations Management Research,1
1206,OPS&TECH,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",1
1207,OPS&TECH,Production & Manufacturing Research,1
1208,OPS&TECH,Project Management Journal,1
1209,OPS&TECH,Quality and Reliability Engineering International,1
1210,OPS&TECH,Quality Innovation Prosperity,1
1211,OPS&TECH,Quality Progress,1
1212,OPS&TECH,Service Science,1
1213,OPS&TECH,Supply Chain Forum,1
1214,OPS&TECH,TQM Journal,1
1215,OPS&TECH,World Review of Intermodal Transportation Research,1
1216,OR&MANSCI,Management Science,4*
1217,OR&MANSCI,Operations Research,4*
1218,OR&MANSCI,European Journal of Operational Research,4
1219,OR&MANSCI,IEEE Transactions on Evolutionary Computation,4
1220,OR&MANSCI,Mathematical Programming,4
1221,OR&MANSCI,ACM Transactions on Modeling and Computer Simulation,3
1222,OR&MANSCI,Annals of Operations Research,3
1223,OR&MANSCI,Computational Optimization and Applications,3
1224,OR&MANSCI,Computers and Operations Research,3
1225,OR&MANSCI,Decision Sciences,3
1226,OR&MANSCI,Evolutionary Computation,3
1227,OR&MANSCI,Fuzzy Optimization and Decision Making,3
1228,OR&MANSCI,IEEE Transactions on Cybernetics,3
1229,OR&MANSCI,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",3
1230,OR&MANSCI,IISE Transactions,3
1231,OR&MANSCI,INFORMS Journal on Computing,3
1232,OR&MANSCI,International Journal of Forecasting,3
1233,OR&MANSCI,Journal of Heuristics,3
1234,OR&MANSCI,Journal of Optimization Theory and Applications,3
1235,OR&MANSCI,Journal of the Operational Research Society,3
1236,OR&MANSCI,Mathematics of Operations Research,3
1237,OR&MANSCI,Naval Research Logistics,3
1238,OR&MANSCI,Omega,3
1239,OR&MANSCI,OR Spectrum,3
1240,OR&MANSCI,Reliability Engineering and System Safety,3
1241,OR&MANSCI,SIAM Journal on Optimization,3
1242,OR&MANSCI,Transportation Science,3
1243,OR&MANSCI,4OR,2
1244,OR&MANSCI,Discrete Applied Mathematics,2
1245,OR&MANSCI,Discrete Optimization,2
1246,OR&MANSCI,Engineering Optimization,2
1247,OR&MANSCI,EURO Journal on Computational Optimization ,2
1248,OR&MANSCI,EURO Journal on Transportation and Logistics,2
1249,OR&MANSCI,European Journal of Industrial Engineering,2
1250,OR&MANSCI,Group Decision and Negotiation,2
1251,OR&MANSCI,IMA Journal of Management Mathematics,2
1252,OR&MANSCI,INFORMS Journal on Applied Analytics,2
1253,OR&MANSCI,International Journal of Systems Science: Operations & Logistics,2
1254,OR&MANSCI,Journal of Combinatorial Optimization,2
1255,OR&MANSCI,Journal of Forecasting,2
1256,OR&MANSCI,Journal of Global Optimization,2
1257,OR&MANSCI,Journal of Management Analytics,2
1258,OR&MANSCI,Journal of Simulation,2
1259,OR&MANSCI,Operations Research Letters,2
1260,OR&MANSCI,Queueing Systems,2
1261,OR&MANSCI,Simulation Modelling Practice and Theory,2
1262,OR&MANSCI,Socio-Economic Planning Sciences,2
1263,OR&MANSCI,System Dynamics Review,2
1264,OR&MANSCI,Systems Research and Behavioral Science,2
1265,OR&MANSCI,Theory and Decision,2
1266,OR&MANSCI,Asia-Pacific Journal of Operational Research,1
1267,OR&MANSCI,Central European Journal of Operations Research,1
1268,OR&MANSCI,Computational Management Science,1
1269,OR&MANSCI,Cybernetics and Systems,1
1270,OR&MANSCI,Decision Analysis,1
1271,OR&MANSCI,EURO Journal on Decision Processes ,1
1272,OR&MANSCI,INFOR: Information Systems and Operational Research,1
1273,OR&MANSCI,International Journal of Applied Decision Sciences,1
1274,OR&MANSCI,International Journal of General Systems,1
1275,OR&MANSCI,International Journal of Mathematics in Operational Research,1
1276,OR&MANSCI,International Journal of Operational Research,1
1277,OR&MANSCI,International Journal of Operations and Quantitative Management,1
1278,OR&MANSCI,International Transactions in Operational Research,1
1279,OR&MANSCI,Journal of Business Analytics,1
1280,OR&MANSCI,Journal of Industrial and Management Optimization,1
1281,OR&MANSCI,Journal of Modelling in Management,1
1282,OR&MANSCI,Journal of Multi-Criteria Decision Analysis,1
1283,OR&MANSCI,Kybernetes,1
1284,OR&MANSCI,Mathematical Methods of Operations Research,1
1285,OR&MANSCI,Operational Research,1
1286,OR&MANSCI,OPSEARCH,1
1287,OR&MANSCI,Optimization,1
1288,OR&MANSCI,Pacific Journal of Optimization ,1
1289,OR&MANSCI,Pesquisa Operacional,1
1290,OR&MANSCI,RAIRO - Operations Research,1
1291,OR&MANSCI,SIMULATION: Transactions of The Society for Modeling and Simulation International,1
1292,OR&MANSCI,TOP,1
1293,ORG STUD,Organization Science,4*
1294,ORG STUD,Human Relations,4
1295,ORG STUD,Leadership Quarterly,4
1296,ORG STUD,Organization Studies,4
1297,ORG STUD,Organizational Research Methods,4
1298,ORG STUD,Group and Organization Management,3
1299,ORG STUD,Organization,3
1300,ORG STUD,Organization and Environment,3
1301,ORG STUD,Organizational Dynamics,3
1302,ORG STUD,Research in Organizational Behavior,3
1303,ORG STUD,Research in the Sociology of Organizations,3
1304,ORG STUD,Culture and Organization,2
1305,ORG STUD,Group Processes and Intergroup Relations,2
1306,ORG STUD,Journal of Co-operative Organization and Management,2
1307,ORG STUD,Journal of Knowledge Management,2
1308,ORG STUD,Journal of Organizational Behavior Management,2
1309,ORG STUD,Journal of Organizational Change Management,2
1310,ORG STUD,Journal of Professions and Organization,2
1311,ORG STUD,Leadership,2
1312,ORG STUD,Management Communication Quarterly,2
1313,ORG STUD,Negotiation Journal,2
1314,ORG STUD,Symbolic Interaction,2
1315,ORG STUD,Systemic Practice and Action Research,2
1316,ORG STUD,The Journal of Applied Behavioral Science,2
1317,ORG STUD,Action Research,1
1318,ORG STUD,Computational and Mathematical Organization Theory,1
1319,ORG STUD,Ephemera: Critical Dialogues on Organization,1
1320,ORG STUD,International Journal of Knowledge Management Studies,1
1321,ORG STUD,International Journal of Organization Theory and Behavior,1
1322,ORG STUD,International Journal of Organizational Analysis,1
1323,ORG STUD,International Journal of Project Organisation and Management,1
1324,ORG STUD,Journal of Organizational Ethnography,1
1325,ORG STUD,Leadership and Organization Development Journal,1
1326,ORG STUD,Learning Organization,1
1327,ORG STUD,Network Science,1
1328,ORG STUD,Organizations and Markets in Emerging Economies,1
1329,ORG STUD,Qualitative Research in Organizations and Management,1
1330,ORG STUD,Tamara: Journal for Critical Organization Inquiry,1
1331,PSYCH (GENERAL),Psychological Science,4*
1332,PSYCH (GENERAL),Annual Review of Psychology,4
1333,PSYCH (GENERAL),Behavioral and Brain Sciences,4
1334,PSYCH (GENERAL),Cognition,4
1335,PSYCH (GENERAL),Current Directions in Psychological Science,4
1336,PSYCH (GENERAL),Journal of Experimental Psychology: Applied,4
1337,PSYCH (GENERAL),Journal of Experimental Psychology: General,4
1338,PSYCH (GENERAL),Journal of Experimental Social Psychology,4
1339,PSYCH (GENERAL),Journal of Personality and Social Psychology,4
1340,PSYCH (GENERAL),Nature Human Behaviour,4
1341,PSYCH (GENERAL),Personality and Social Psychology Bulletin,4
1342,PSYCH (GENERAL),Psychological Bulletin,4
1343,PSYCH (GENERAL),Psychological Review,4
1344,PSYCH (GENERAL),British Journal of Psychology,3
1345,PSYCH (GENERAL),British Journal of Social Psychology,3
1346,PSYCH (GENERAL),Cognitive Science,3
1347,PSYCH (GENERAL),European Journal of Social Psychology,3
1348,PSYCH (GENERAL),Journal of Behavioral Decision Making,3
1349,PSYCH (GENERAL),Journal of Conflict Resolution,3
1350,PSYCH (GENERAL),Journal of Cross-Cultural Psychology,3
1351,PSYCH (GENERAL),Journal of Environmental Psychology,3
1352,PSYCH (GENERAL),Journal of Experimental Psychology: Learning Memory and Cognition,3
1353,PSYCH (GENERAL),Journal of Mathematical Psychology,3
1354,PSYCH (GENERAL),Journal of Personality,3
1355,PSYCH (GENERAL),Judgment and Decision Making,3
1356,PSYCH (GENERAL),Personality and Individual Differences,3
1357,PSYCH (GENERAL),Psychological Research,3
1358,PSYCH (GENERAL),Psychology of Women Quarterly,3
1359,PSYCH (GENERAL),Psychometrika,3
1360,PSYCH (GENERAL),Quarterly Journal of Experimental Psychology,3
1361,PSYCH (GENERAL),Social Psychological and Personality Science,3
1362,PSYCH (GENERAL),Stress and Health,3
1363,PSYCH (GENERAL),Advances in Methods and Practices in Psychological Science (AMPPS),2
1364,PSYCH (GENERAL),Applied Cognitive Psychology,2
1365,PSYCH (GENERAL),Cognitive Research: Principles and Implications,2
1366,PSYCH (GENERAL),Collabra: Psychology,2
1367,PSYCH (GENERAL),Creativity Research Journal,2
1368,PSYCH (GENERAL),Decision,2
1369,PSYCH (GENERAL),European Journal of Psychological Assessment,2
1370,PSYCH (GENERAL),Journal of Cognitive Engineering and Decision Making,2
1371,PSYCH (GENERAL),Journal of Community Psychology,2
1372,PSYCH (GENERAL),Journal of Economic Psychology,2
1373,PSYCH (GENERAL),Journal of Language and Social Psychology,2
1374,PSYCH (GENERAL),Journal of Nonverbal Behavior,2
1375,PSYCH (GENERAL),Scandinavian Journal of Psychology,2
1376,PSYCH (GENERAL),Zeitschrift fur Psychologie / Journal of Psychology,2
1377,PSYCH (GENERAL),American Behavioral Scientist,1
1378,PSYCH (GENERAL),American Journal of Psychology,1
1379,PSYCH (GENERAL),Australian Journal of Psychology,1
1380,PSYCH (GENERAL),Basic and Applied Social Psychology,1
1381,PSYCH (GENERAL),Canadian Journal of Behavioural Science,1
1382,PSYCH (GENERAL),Canadian Psychology,1
1383,PSYCH (GENERAL),Current Psychology,1
1402,PSYCH (GENERAL),European Journal of Psychology Open,1
1384,PSYCH (GENERAL),European Psychologist,1
1385,PSYCH (GENERAL),International Journal of Intercultural Relations,1
1386,PSYCH (GENERAL),International Journal of Psychology,1
1387,PSYCH (GENERAL),Japanese Psychological Research,1
1388,PSYCH (GENERAL),Journal of Constructivist Psychology,1
1389,PSYCH (GENERAL),Journal of Happiness Studies,1
1390,PSYCH (GENERAL),Journal of Pacific Rim Psychology,1
1391,PSYCH (GENERAL),Journal of Positive Psychology,1
1393,PSYCH (GENERAL),Journal of Social Psychology,1
1394,PSYCH (GENERAL),Nordic Psychology,1
1395,PSYCH (GENERAL),Psicothema,1
1396,PSYCH (GENERAL),Psihologija,1
1397,PSYCH (GENERAL),Psychological Reports,1
1398,PSYCH (GENERAL),Psychologist,1
1399,PSYCH (GENERAL),Social Justice Research,1
1400,PSYCH (GENERAL),South African Journal of Psychology,1
1401,PSYCH (GENERAL),Spanish Journal of Psychology,1
1392,PSYCH (GENERAL),The Journal of Psychology,1
1403,PSYCH (WOP-OB),Journal of Applied Psychology,4*
1404,PSYCH (WOP-OB),Personnel Psychology,4*
1405,PSYCH (WOP-OB),Journal of Occupational and Organizational Psychology,4
1406,PSYCH (WOP-OB),Journal of Occupational Health Psychology,4
1407,PSYCH (WOP-OB),Journal of Organizational Behavior,4
1408,PSYCH (WOP-OB),Journal of Vocational Behavior,4
1409,PSYCH (WOP-OB),Organizational Behavior and Human Decision Processes,4
1410,PSYCH (WOP-OB),Work and Stress,4
1411,PSYCH (WOP-OB),Accident Analysis and Prevention,3
1412,PSYCH (WOP-OB),Applied Ergonomics,3
1413,PSYCH (WOP-OB),Applied Psychology,3
1414,PSYCH (WOP-OB),Ergonomics,3
1415,PSYCH (WOP-OB),European Journal of Work and Organizational Psychology,3
1416,PSYCH (WOP-OB),Human Factors,3
1417,PSYCH (WOP-OB),Human Performance,3
1418,PSYCH (WOP-OB),International Journal of Rehabilitation Research,3
1419,PSYCH (WOP-OB),Journal of Business and Psychology,3
1420,PSYCH (WOP-OB),Journal of Managerial Psychology,3
1421,PSYCH (WOP-OB),Journal of School Psychology,3
1422,PSYCH (WOP-OB),Occupational and Environmental Medicine,3
1423,PSYCH (WOP-OB),"Scandinavian Journal of Work, Environment and Health",3
1424,PSYCH (WOP-OB),Applied Psychological Measurement,2
1425,PSYCH (WOP-OB),Applied Psychology: Health and Well-Being,2
1426,PSYCH (WOP-OB),"Cognition, Technology and Work",2
1427,PSYCH (WOP-OB),Group Dynamics,2
1428,PSYCH (WOP-OB),International Archives of Occupational and Environmental Health,2
1429,PSYCH (WOP-OB),International Journal of Industrial Ergonomics,2
1430,PSYCH (WOP-OB),International Journal of Selection and Assessment,2
1431,PSYCH (WOP-OB),International Journal of Stress Management,2
1432,PSYCH (WOP-OB),Journal of Applied Social Psychology,2
1433,PSYCH (WOP-OB),Journal of Career Assessment,2
1434,PSYCH (WOP-OB),Journal of Occupational and Environmental Medicine,2
1435,PSYCH (WOP-OB),Journal of Occupational Rehabilitation,2
1436,PSYCH (WOP-OB),Journal of Personnel Psychology,2
1437,PSYCH (WOP-OB),Journal of Safety Research,2
1438,PSYCH (WOP-OB),Organizational Psychology Review,2
1439,PSYCH (WOP-OB),Rehabilitation Psychology,2
1440,PSYCH (WOP-OB),Small Group Research,2
1441,PSYCH (WOP-OB),"Community, Work and Family",1
1442,PSYCH (WOP-OB),Disability and Rehabilitation,1
1443,PSYCH (WOP-OB),European Work and Organizational Psychology in practice,1
1444,PSYCH (WOP-OB),Gedrag en Organisatie,1
1445,PSYCH (WOP-OB),Human Factors and Ergonomics In Manufacturing,1
1446,PSYCH (WOP-OB),IISE Transactions on Occupational Ergonomics and Human Factors,1
1447,PSYCH (WOP-OB),Industrial and Organizational Psychology,1
1448,PSYCH (WOP-OB),International Coaching Psychology Review,1
1449,PSYCH (WOP-OB),International Journal for Educational and Vocational Guidance,1
1450,PSYCH (WOP-OB),International Journal of Occupational Safety and Ergonomics,1
1451,PSYCH (WOP-OB),International Journal of Workplace Health Management,1
1452,PSYCH (WOP-OB),International Negotiation,1
1453,PSYCH (WOP-OB),Journal of Career Development,1
1454,PSYCH (WOP-OB),Journal of Employment Counseling,1
1455,PSYCH (WOP-OB),Journal of Rehabilitation,1
1456,PSYCH (WOP-OB),Military Psychology,1
1457,PSYCH (WOP-OB),Occupational Medicine,1
1458,PSYCH (WOP-OB),Psychologie du Travail et des Organisations,1
1459,PSYCH (WOP-OB),Psychologist-Manager Journal,1
1460,PSYCH (WOP-OB),Rehabilitation Counseling Bulletin,1
1461,PSYCH (WOP-OB),Research in Occupational Stress and Well Being,1
1462,PSYCH (WOP-OB),Revue Europeenne de Psychologie Appliquee,1
1463,PSYCH (WOP-OB),Social Work in Public Health,1
1464,PSYCH (WOP-OB),South African Journal of Industrial Psychology,1
1465,PSYCH (WOP-OB),"Sport, Exercise, and Performance Psychology",1
1466,PSYCH (WOP-OB),The International Journal of Aerospace Psychology,1
1467,PSYCH (WOP-OB),"TPM - Testing, Psychometrics, Methodology in Applied Psychology",1
1468,PSYCH (WOP-OB),Work,1
1469,PSYCH (WOP-OB),Zeitschrift fur Arbeits- und Organisationspsychologie,1
1470,PUB SEC,Public Administration Review,4*
1471,PUB SEC,Governance,4
1472,PUB SEC,Journal of Public Administration Research and Theory,4
1473,PUB SEC,Public Administration,4
1474,PUB SEC,Public Management Review,4
1475,PUB SEC,American Review of Public Administration,3
1476,PUB SEC,Environment and Planning C: Politics and Space,3
1477,PUB SEC,Health Services Research,3
1478,PUB SEC,International Public Management Journal,3
1479,PUB SEC,International Review of Administrative Sciences,3
1480,PUB SEC,Journal of European Public Policy,3
1481,PUB SEC,Journal of Policy Analysis and Management,3
1482,PUB SEC,Milbank Quarterly,3
1483,PUB SEC,Policy and Politics,3
1484,PUB SEC,Policy Studies Journal,3
1485,PUB SEC,Regulation and Governance,3
1486,PUB SEC,Administration and Society,2
1487,PUB SEC,Australian Journal of Public Administration,2
1488,PUB SEC,Educational Management Administration and Leadership,2
1489,PUB SEC,Evidence and Policy,2
1490,PUB SEC,Health Care Management Review,2
1491,PUB SEC,Health Care Management Science,2
1492,PUB SEC,Health Policy,2
1493,PUB SEC,International Journal of Emergency Services,2
1494,PUB SEC,International Journal of Public Administration,2
1495,PUB SEC,Journal of Health Services Research and Policy,2
1496,PUB SEC,Journal of Public Policy ,2
1497,PUB SEC,Local Government Studies,2
1498,PUB SEC,Perspectives on Public Management & Governance,2
1499,PUB SEC,Policing,2
1500,PUB SEC,Policy Design and Practice,2
1501,PUB SEC,Policy Studies,2
1502,PUB SEC,Public Administration and Development,2
1503,PUB SEC,Public Integrity,2
1504,PUB SEC,Public Money and Management,2
1505,PUB SEC,Public Organization Review,2
1506,PUB SEC,Public Performance & Management Review,2
1507,PUB SEC,Public Personnel Management,2
1508,PUB SEC,Public Policy and Administration,2
1509,PUB SEC,Review of Policy Research,2
1510,PUB SEC,Review of Public Personnel Administration,2
1511,PUB SEC,Social Policy and Administration,2
1512,PUB SEC,State Politics and Policy Quarterly,2
1513,PUB SEC,"Transforming Government: People, Process and Policy",2
1514,PUB SEC,Administrative Theory and Praxis,1
1515,PUB SEC,Asia and the Pacific Policy Studies,1
1516,PUB SEC,Asia Pacific Journal of Public Administration,1
1517,PUB SEC,Brazilian Journal of Public Administration (Revista de Administração Pública - RAP),1
1518,PUB SEC,British Journal of Health Care Management,1
1519,PUB SEC,Canadian Public Administration,1
1520,PUB SEC,Canadian Public Policy/Analyse de politiques,1
1521,PUB SEC,Health Services Management Research,1
1522,PUB SEC,International Journal of Educational Management,1
1523,PUB SEC,International Journal of Health Care Quality Assurance,1
1524,PUB SEC,International Journal of Health Governance,1
1525,PUB SEC,International Journal of Healthcare Technology and Management,1
1526,PUB SEC,International Journal of Public Leadership,1
1527,PUB SEC,International Journal of Public Sector Management,1
1528,PUB SEC,International Review of Public Administration,1
1529,PUB SEC,Journal of Asian Public Policy,1
1530,PUB SEC,Journal of Comparative Policy Analysis,1
1531,PUB SEC,Journal of Health Organization and Management,1
1532,PUB SEC,Journal of Public Affairs,1
1533,PUB SEC,Journal of Public Affairs Education,1
1534,PUB SEC,Leadership in Health Services,1
1535,PUB SEC,Policing: A journal of policy and practice,1
1536,PUB SEC,Public Administration Quarterly ,1
1537,PUB SEC,Public Works Management and Policy,1
1538,PUB SEC,State and Local Government Review,1
1539,PUB SEC,Teaching Public Administration,1
1540,PUB SEC,Voluntary Sector Review,1
1541,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Economic Geography,4
1542,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Economic Geography,4
1543,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Regional Studies,4
1544,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT","Cambridge Journal of Regions, Economy and Society",3
1545,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Environment and Planning A,3
1546,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",European Urban and Regional Studies,3
1547,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Global Environmental Change,3
1548,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Regional Science,3
1549,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Rural Studies,3
1550,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Papers in Regional Science,3
1551,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Regional Science and Urban Economics,3
1552,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Urban Studies,3
1553,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Annals of Regional Science,2
1554,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Cities,2
1555,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Construction Management and Economics,2
1556,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",European Planning Studies,2
1557,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Growth and Change,2
1558,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",International Journal of Urban and Regional Research,2
1559,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Place Management and Development,2
1560,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Local Economy,2
1561,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Town Planning Review,2
1562,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",African Evaluation Journal,1
1563,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Built Environment Project and Asset Management,1
1564,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Corporate Social Responsibility and Environmental Management,1
1565,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",International Journal of Energy Sector Management,1
1566,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",International Journal of Housing Markets and Analysis,1
1567,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Corporate Real Estate,1
1568,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of European Real Estate Research,1
1569,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Financial Management of Property and Construction,1
1570,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Journal of Geographical Systems,1
1571,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Letters in Spatial and Resource Sciences,1
1572,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Regional and Federal Studies,1
1573,SECTOR,Annals of Tourism Research,4
1574,SECTOR,Journal of Service Research,4
1575,SECTOR,Journal of Travel Research,4
1576,SECTOR,Tourism Management,4
1577,SECTOR,"Transportation Research, Series B: Methodological",4
1578,SECTOR,Energy Journal,3
1579,SECTOR,European Sport Management Quarterly,3
1580,SECTOR,Food Policy,3
1581,SECTOR,International Journal of Contemporary Hospitality Management,3
1582,SECTOR,International Journal of Hospitality Management,3
1583,SECTOR,Journal of Sustainable Tourism,3
1584,SECTOR,Nonprofit and Voluntary Sector Quarterly,3
1585,SECTOR,"Transportation Research, Part A: Policy and Practice",3
1586,SECTOR,"Transportation Research, Part D: Transport and Environment",3
1587,SECTOR,"Transportation Research, Part E: Logistics and Transportation Review",3
1588,SECTOR,Annals of Leisure Research,2
1589,SECTOR,Building Research and Information,2
1590,SECTOR,Cornell Hospitality Quarterly,2
1591,SECTOR,Current Issues in Tourism,2
1592,SECTOR,Energy Policy,2
1593,SECTOR,Environmental Management,2
1594,SECTOR,Event Management,2
1595,SECTOR,Hospitality and Society,2
1596,SECTOR,International Journal of Strategic Property Management,2
1597,SECTOR,International Journal of Tourism Research,2
1598,SECTOR,Journal of Hospitality and Tourism Management,2
1599,SECTOR,Journal of Hospitality and Tourism Research,2
1600,SECTOR,Journal of Management in Engineering - ASCE,2
1601,SECTOR,Journal of Service Management,2
1602,SECTOR,Journal of Sport Management,2
1603,SECTOR,Journal of Sports Economics,2
1604,SECTOR,Journal of Transport Geography,2
1605,SECTOR,Journal of Travel and Tourism Marketing,2
1606,SECTOR,Leisure Sciences,2
1607,SECTOR,Leisure Studies,2
1608,SECTOR,Marine Policy,2
1609,SECTOR,Maritime Policy and Management,2
1610,SECTOR,Museum Management and Curatorship,2
1611,SECTOR,Scandinavian Journal of Hospitality and Tourism,2
1612,SECTOR,Service Industries Journal,2
1613,SECTOR,Sport Management Review,2
1614,SECTOR,Tourism Analysis,2
1615,SECTOR,Tourism Economics,2
1616,SECTOR,Tourism Geographies,2
1617,SECTOR,Tourism Management Perspectives,2
1618,SECTOR,Tourism Planning and Development,2
1619,SECTOR,Tourism Recreation Research,2
1620,SECTOR,Transport Policy,2
1621,SECTOR,Transport Reviews,2
1622,SECTOR,Transportation,2
1623,SECTOR,Voluntas,2
1624,SECTOR,Advances in Hospitality and Leisure,1
1625,SECTOR,Anatolia: An International Journal of Tourism and Hospitality Research,1
1626,SECTOR,Asia Pacific Journal of Tourism Research,1
1627,SECTOR,British Food Journal,1
1628,SECTOR,"Digital Policy, Regulation and Governance",1
1629,SECTOR,"Engineering, Construction and Architectural Management",1
1630,SECTOR,Facilities,1
1631,SECTOR,International Hospitality Review,1
1632,SECTOR,"International Journal of Culture, Tourism and Hospitality Research",1
1633,SECTOR,International Journal of Event and Festival Management,1
1634,SECTOR,International Journal of Heritage Studies,1
1635,SECTOR,International Journal of Hospitality and Tourism Administration,1
1636,SECTOR,International Journal of Sport and Society,1
1637,SECTOR,International Journal of Sport Finance,1
1638,SECTOR,International Journal of Sport Management,1
1639,SECTOR,International Journal of Sport Management and Marketing,1
1640,SECTOR,International Journal of Sport Policy and Politics,1
1641,SECTOR,International Journal of Sports Marketing and Sponsorship,1
1642,SECTOR,Journal of China Tourism Research,1
1643,SECTOR,Journal of Cleaner Production,1
1644,SECTOR,Journal of Convention and Event Tourism,1
1645,SECTOR,Journal of Destination Marketing and Management,1
1646,SECTOR,Journal of Ecotourism,1
1647,SECTOR,Journal of Foodservice Business Research,1
1648,SECTOR,Journal of Heritage Tourism,1
1649,SECTOR,Journal of Hospitality and Tourism Education,1
1650,SECTOR,Journal of Hospitality and Tourism Technology,1
1651,SECTOR,Journal of Hospitality Marketing and Management,1
1652,SECTOR,"Journal of Hospitality, Leisure, Sport and Tourism Education",1
1653,SECTOR,Journal of Human Resources in Hospitality and Tourism,1
1654,SECTOR,Journal of Media Business Studies,1
1655,SECTOR,Journal of Outdoor Recreation and Tourism,1
1656,SECTOR,"Journal of Policy Research in Tourism, Leisure and Events",1
1657,SECTOR,Journal of Quality Assurance in Hospitality and Tourism,1
1658,SECTOR,Journal of Sport and Tourism,1
1659,SECTOR,Journal of the Textile Institute,1
1660,SECTOR,Journal of Transport Economics and Policy,1
1661,SECTOR,Journal of Vacation Marketing,1
1662,SECTOR,Managing Leisure: An International Journal,1
1663,SECTOR,Marine Resource Economics,1
1664,SECTOR,Maritime Economics and Logistics,1
1665,SECTOR,Non-Profit Management & Leadership,1
1666,SECTOR,Nutrition and Food Science,1
1667,SECTOR,PASOS Journal of Tourism and Cultural Heritage,1
1668,SECTOR,Property Management,1
1669,SECTOR,Service Business,1
1670,SECTOR,Sport Marketing Quarterly,1
1671,SECTOR,"Sport, Business and Management: An International Journal",1
1672,SECTOR,Telecommunications Policy,1
1674,SECTOR,Tourism Review,1
1675,SECTOR,"Tourism, Culture and Communication",1
1673,SECTOR,Tourism: An International Interdisciplinary Journal,1
1676,SECTOR,Tourist Studies,1
1677,SECTOR,Utilities Policy,1
1678,SECTOR,Visitor Studies,1
1679,SECTOR,World Leisure Journal,1
1680,SECTOR,Worldwide Hospitality and Tourism Themes,1
1681,SOC SCI,American Journal of Political Science ,4*
